params,mean_test_score,std_test_score,max_test_score,min_test_score,rank_test_score
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': 50, 'solver': 'sgd'}",0.3345116754919129,0.0013774522117811774,0.33588685916322925,0.3327444051825677,206
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 50), 'solver': 'sgd'}",0.3345116754919129,0.0013774522117811774,0.33588685916322925,0.3327444051825677,206
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'sgd'}",0.3345116754919129,0.0013774522117811774,0.33588685916322925,0.3327444051825677,206
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 20), 'solver': 'sgd'}",0.3345116754919129,0.0013774522117811774,0.33588685916322925,0.3327444051825677,206
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': 100, 'solver': 'sgd'}",0.3346295305302158,0.0014622518196034503,0.33588685916322925,0.3327444051825677,205
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': 20, 'solver': 'adam'}",0.3346296693465153,0.006643771602398466,0.34275618374558303,0.3244994110718492,204
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': 10, 'solver': 'sgd'}",0.3347470385277699,0.0017974006830453698,0.33588685916322925,0.33117265763111375,203
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'sgd'}",0.3347475243848182,0.0016067534237283964,0.33588685916322925,0.33156654888103654,202
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50, 20), 'solver': 'sgd'}",0.3348653794231211,0.0016633912324650402,0.33588685916322925,0.33156654888103654,201
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20, 10), 'solver': 'sgd'}",0.3351006036426785,0.0010968726418442507,0.33588685916322925,0.33294048320565706,200
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 20, 10), 'solver': 'sgd'}",0.33521845868098143,0.0011424180850664357,0.33588685916322925,0.33294048320565706,199
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50, 50), 'solver': 'adam'}",0.33557091326549376,0.010464444890529561,0.35335689045936397,0.3270477312905127,198
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 10), 'solver': 'adam'}",0.3355734119588854,0.013524372425585017,0.3594578668238067,0.3217442545668827,197
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 20), 'solver': 'adam'}",0.33568967060974364,0.008197737351658857,0.3486454652532391,0.3244994110718492,196
"{'C': 1000, 'degree': 2, 'kernel': 'poly'}",0.3359252418700499,0.005913780322727972,0.34334511189634864,0.328815556865056,18
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'adam'}",0.3359264912167457,0.0035729785089932144,0.34001178550383027,0.3309776207302709,195
